scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid,tname,cid,tid,populartiy,ct,course_id,score
2994,ISTM111,總體經濟學,4.0,必修,否,否,否,數據分析一學位學程,(一)07     商207 (二)08-10 商207 黃瓊如,60.0,0.0,,4906,NM04110,74150,2,107,2,NM,1072NM0411074150002,['黃瓊如'],1333,355,0.0,1333_355,166d74d99bfd1c2779f4e06e0e7ecdd79b5c03ccc50bf4890e9921c583885fc54ccebb216b101181,"Grading Policy: 40% (Classroom performance; attendance, quizzes and home-works), 30% (midterm), 30% (final)"
2998,ISTM238,財務資訊系統,3.0,選修,否,否,否,數據分析一學位學程,(二)02-04 科航504 劉炳麟,60.0,0.0,,4906,NM04110,84141,1,107,2,NM,1072NM0411084141001,['劉炳麟'],786,808,0.0,786_808,166d74d99bfd1c2779f4e06e0e7ecdd7a010cab25694373914afee36382881c50e483db2a9c91c2e,
3000,ISTM201,商事法概論,4.0,必修,否,否,否,數據分析二學位學程,(一)03-04 人B116A (五)06-07 人B117A 張格明,60.0,0.0, ,4906,NM04120,50218,1,107,2,NM,1072NM0412050218001,['張格明'],1850,319,0.0,1850_319,166d74d99bfd1c2779f4e06e0e7ecdd7636014e5b996dabcadc864c52f4df2de0e483db2a9c91c2e,
5,ARCH142,電腦輔助設計概論,2.0,必修,否,否,否,建築專業一甲,(二)08-09 行政二館105-電腦實室 蕭俊碩,71.0,0.0, ,5001,AS01111,56522,1,107,2,AS,1072AS0111156522001,['蕭俊碩'],1863,859,0.0,1863_859,166d74d99bfd1c27a317be1f3e23e9795652085d2150f9d82aff01a4206b353b0e483db2a9c91c2e,
15,ARCH263,材料力學,2.0,必修,否,否,否,建築專業二甲,(三)01-02 忠501 曾亮,60.0,0.0, ,5001,AS01121,19550,1,107,2,AS,1072AS0112119550001,['曾亮'],417,851,0.0,417_851,166d74d99bfd1c27a317be1f3e23e9793cb18923b8f591a46f105b70b8e376a50e483db2a9c91c2e,
1112,ARCH417,都市計劃學,2.0,必修,否,否,否,建築四甲學位學程,(一)03-04 忠307 劉立偉,120.0,0.0,,5002,CE03141,46860,1,107,2,AS,1072CE0314146860001,['劉立偉'],1886,759,0.0,1886_759,166d74d99bfd1c27e26d3026d5b6b8a99083ffbf37b24baa84eda6c1b8b975b60e483db2a9c91c2e,-1
1117,ARCH432,當代建築,2.0,選修,否,否,否,建築四甲學位學程,(二)03-04 忠209 恰貢卡洛斯,60.0,0.0,,5002,CE03141,62000,1,107,2,AS,1072CE0314162000001,['恰貢卡洛斯'],1890,1165,0.0,1890_1165,166d74d99bfd1c27e26d3026d5b6b8a9f2ada8b449cfc3df167baed53e2f40db0e483db2a9c91c2e,-1
1118,ARCH450,綠建築實務,2.0,選修,否,否,否,建築四甲學位學程,(一)06-07 忠208 趙又嬋,60.0,0.0,,5002,CE03141,71972,1,107,2,AS,1072CE0314171972001,['趙又嬋'],1891,841,0.0,1891_841,166d74d99bfd1c27e26d3026d5b6b8a9b250c64f401a0fa63a3ed9e643add5350e483db2a9c91c2e,-1
3015,COHS008,華語教材教法,2.0,必修,否,否,否,華語教師學程,(四)11-12 資電107 姚蘭,60.0,0.0,,8888,PC29100,43652,1,107,2,PC,1072PC2910043652001,['姚蘭'],1910,191,0.0,1910_191,166d74d99bfd1c27d529e189282ec719ed87b2619705a7eb4d8ea7403003195c0e483db2a9c91c2e,
3022,CE349,管理類專案管理理論與實務,2.0,選修,否,否,否,專案管理學程,(四)06-07 土B03 蔡勝男,60.0,0.0,,8888,PC46100,63016,1,107,2,PC,1072PC4610063016001,['蔡勝男'],1931,960,0.0,1931_960,166d74d99bfd1c27035dda8f4d7db239dd04a21b42708ae62b9e6e498ca7eefc0e483db2a9c91c2e,"平時30%
期中30%
期末40%"
